('/shop/UID_130824_apple_iphone_15_pro_max_1tb_titan_beige.html', 'Apple iPhone 15 Pro Max 1Tb Dual nanoSim Natural Titanium'): 253990
('/shop/UID_130809_apple_iphone_15_pro_1tb_titan_beige.html', 'Apple iPhone 15 Pro 1Tb nanoSim + eSim Natural Titanium'): 210590
('/shop/UID_130823_apple_iphone_15_pro_max_512gb_titan_beige.html', 'Apple iPhone 15 Pro Max 512Gb nanoSim + eSim Natural Titanium'): 221490
('/shop/UID_130819_apple_iphone_15_pro_256gb_titan_black.html', 'Apple iPhone 15 Pro 256Gb nanoSim + eSim Black Titanium'): 152490
('/shop/UID_130815_apple_iphone_15_pro_256gb_titan_white.html', 'Apple iPhone 15 Pro 256Gb nanoSim + eSim White Titanium'): 154490
('/shop/UID_130814_apple_iphone_15_pro_128gb_titan_white.html', 'Apple iPhone 15 Pro 128Gb nanoSim + eSim White Titanium'): 151290
('/shop/UID_130806_apple_iphone_15_pro_128gb_titan_beige.html', 'Apple iPhone 15 Pro 128Gb nanoSim + eSim Natural Titanium'): 153490
('/shop/UID_130831_apple_iphone_15_pro_max_256gb_titan_black.html', 'Apple iPhone 15 Pro Max 256Gb nanoSim + eSim Black Titanium'): 188990
('/shop/UID_130817_apple_iphone_15_pro_1tb_titan_white.html', 'Apple iPhone 15 Pro 1Tb nanoSim + eSim White Titanium'): 215990
('/shop/UID_130821_apple_iphone_15_pro_1tb_titan_black.html', 'Apple iPhone 15 Pro 1Tb nanoSim + eSim Black Titanium'): 221490
('/shop/UID_130813_apple_iphone_15_pro_1tb_titan_blue.html', 'Apple iPhone 15 Pro 1Tb nanoSim + eSim Blue Titanium'): 186990
('/shop/UID_130808_apple_iphone_15_pro_512gb_titan_beige.html', 'Apple iPhone 15 Pro 512Gb nanoSim + eSim Natural Titanium'): 210590
('/shop/UID_130812_apple_iphone_15_pro_512gb_titan_blue.html', 'Apple iPhone 15 Pro 512Gb nanoSim + eSim Blue Titanium'): 167490
('/shop/UID_130820_apple_iphone_15_pro_512gb_titan_black.html', 'Apple iPhone 15 Pro 512Gb nanoSim + eSim Black Titanium'): 178490
('/shop/UID_130827_apple_iphone_15_pro_max_1tb_titan_blue.html', 'Apple iPhone 15 Pro Max 1Tb nanoSim + eSim Blue Titanium'): 248490
('/shop/UID_130807_apple_iphone_15_pro_256gb_titan_beige.html', 'Apple iPhone 15 Pro 256Gb nanoSim + eSim Natural Titanium'): 156590
('/shop/UID_130829_apple_iphone_15_pro_max_512gb_titan_white.html', 'Apple iPhone 15 Pro Max 512Gb nanoSim + eSim White Titanium'): 210590
('/shop/UID_130832_apple_iphone_15_pro_max_512gb_titan_black.html', 'Apple iPhone 15 Pro Max 512Gb nanoSim + eSim Black Titanium'): 221490
('/shop/UID_130810_apple_iphone_15_pro_128gb_titan_blue.html', 'Apple iPhone 15 Pro 128Gb nanoSim + eSim Blue Titanium'): 151290
('/shop/UID_130818_apple_iphone_15_pro_128gb_titan_black.html', 'Apple iPhone 15 Pro 128Gb nanoSim + eSim Black Titanium'): 145990
('/shop/UID_130825_apple_iphone_15_pro_max_256gb_titan_blue.html', 'Apple iPhone 15 Pro Max 256Gb nanoSim + eSim Blue Titanium'): 172990
('/shop/UID_116568_apple_iphone_14_128gb_blue.html', 'Apple iPhone 14 128Gb nanoSim + eSim Blue'): 72990
('/shop/UID_115959_apple_iphone_13_128gb_global_pink.html', 'Apple iPhone 13 128Gb nanoSim + eSim Pink'): 63590
('/shop/UID_114415_apple_iphone_14_pro_256gb_gold.html', 'Apple iPhone 14 Pro 256Gb nanoSim + eSim Gold'): 113490
('/shop/UID_126514_apple_iphone_14_pro_256gb_dual_nanosim_space_black.html', 'Apple iPhone 14 Pro 256Gb Dual nanoSim Space Black'): 105990
('/shop/UID_116493_apple_iphone_13_256gb_global_blue.html', 'Apple iPhone 13 256Gb nanoSim + eSim Blue'): 76990
('/shop/UID_114416_apple_iphone_14_pro_256gb_silver.html', 'Apple iPhone 14 Pro 256Gb nanoSim + eSim Silver'): 115490
('/shop/UID_116601_apple_iphone_14_pro_max_256gb_silver.html', 'Apple iPhone 14 Pro Max 256Gb nanoSim + eSim Silver'): 124990
('/shop/UID_126512_apple_iphone_14_pro_256gb_dual_nanosim_gold.html', 'Apple iPhone 14 Pro 256Gb Dual nanoSim Gold'): 105990
('/shop/UID_115833_apple_iphone_13_mini_128gb_global_pink.html', 'Apple iPhone 13 Mini 128Gb nanoSim + eSim Pink'): 62290
('/shop/UID_115842_apple_iphone_13_256gb_global_midnight.html', 'Apple iPhone 13 256Gb nanoSim + eSim Midnight'): 78290
('/shop/UID_117374_apple_iphone_13_256gb_global_pink.html', 'Apple iPhone 13 256Gb nanoSim + eSim Pink'): 78890
('/shop/UID_116571_apple_iphone_14_256gb_blue.html', 'Apple iPhone 14 256Gb nanoSim + eSim Blue'): 83990

min: 46190 
max: 253990 
average: 127248 
